time,open,high,low,close
1733594400,688.94,700.45,688.94,700.45
1733598000,700.45,703.5,691.75,691.85
1733601600,692.08,698.57,692.08,692.79
1733605200,692.64,700.71,692,698.16
1733608800,698.1,698.74,694.55,695.32
1733612400,695,704.25,694.81,698.45
1733616000,698.44,708.78,697.62,708.51
1733619600,708.66,710.9,698.64,701.86
1733623200,700.63,703.75,695.93,696.03
1733626800,695.85,697.05,691.83,691.83
1733630400,691.55,696.19,687.03,687.68
1733634000,687.53,689.39,681,682.5
1733637600,682.86,689.99,681.85,689.34
1733641200,689.63,699.61,687.97,694.61
1733644800,694.65,698.17,686.82,688.24
1733648400,688.14,692.48,675.63,679.53
1733652000,679.82,687.81,679.65,681.46
1733655600,681.03,690.98,680.85,689.47
1733659200,689.55,694.28,684.75,691.99
1733662800,691.5,700.45,691,700.42
1733666400,700.65,703.42,696.09,698.36
1733670000,698.43,704,692.55,700.14
1733673600,701.07,705.02,688.15,690.34
1733677200,690.28,700.55,689.75,699.75
1733680800,700.56,702.48,690,692.88
1733684400,692.82,692.84,686.23,690.74
1733688000,691.41,693.27,686.27,687.5
1733691600,687.67,697.41,686.52,697.41
1733695200,697.43,710,695.54,706.43
1733698800,706.43,716.95,703.95,712.73
1733702400,712.8,713.69,701,704.38
1733706000,704.27,711.4,692.41,694.01
1733709600,693.9,694.28,673.35,673.37
1733713200,673.65,677.27,662.09,673.57
1733716800,672.06,679.56,667.23,678.68
1733720400,678.71,683.37,677.44,681.6
1733724000,681.55,681.56,668.05,671.73
1733727600,671.58,681.39,657.55,677.78
1733731200,677.61,677.67,658.18,660.64
1733734800,660.55,676.13,659.07,662.14
1733738400,660.7,667.97,658.77,665.9
1733742000,665.72,665.99,649.69,652
1733745600,651.89,661.97,645.73,661.93
1733749200,661.85,674.32,656.84,671.54
1733752800,671.84,680.18,665,676.55
1733756400,676.53,677.59,648.07,652.88
1733760000,652.96,664.43,649.31,657.34
1733763600,657.33,664.45,648.39,648.85
1733767200,649.11,654.04,645,645.33
1733770800,646.28,649.77,641.36,643.15
1733774400,644.35,646.07,605,617.21
1733778000,615.63,622.54,551.72,593.99
1733781600,593,604.24,550,596.64
1733785200,595.94,606.17,590.34,599
1733788800,599,612.64,586.2,604.07
1733792400,604.4,605.88,589.3,598.43
1733796000,598.6,598.66,567.91,568.02
1733799600,568.03,574.17,550.85,573.98
1733803200,573.69,589.9,565.11,587.67
1733806800,587.59,590.8,580.21,584.71
1733810400,584.64,593.03,581.5,589.15
1733814000,588.85,589.55,580.28,582.79
1733817600,582.67,582.91,573.57,581.88
1733821200,582.27,595.59,580.83,591
1733824800,591.17,602.52,591.17,600.52
1733828400,600.52,601.16,585.93,590.01
1733832000,590,590.01,559.19,564.53
1733835600,564.68,576.87,564.11,572.86
1733839200,572.88,583.77,567.89,570.98
1733842800,571.06,574.08,531.27,532.78
1733846400,532.88,560.64,530,558.87
1733850000,559.08,559.22,532.86,533.33
1733853600,533.34,558.08,530.45,549.87
1733857200,549.88,562.19,549.71,560.31
1733860800,560,566.22,556.47,564.67
1733864400,564.57,590.94,563.58,578
1733868000,578,582.54,574.06,578.74
1733871600,579.14,584.46,574.23,574.45
1733875200,574.06,575.78,558.02,566.9
1733878800,566.81,566.81,550.96,553.16
1733882400,553.17,575.93,551.65,569.13
1733886000,568.87,575.32,567.56,571.4
1733889600,571.45,575.18,566,572.68
1733893200,572.57,575.82,567.64,570.63
1733896800,570.05,580.09,568.52,580.09
1733900400,579.66,583.64,567.01,569.04
1733904000,569.24,588.31,567.88,583.35
1733907600,583.39,584.05,577.3,583.26
1733911200,583.06,583.77,576.12,578.28
1733914800,578.28,582.91,574.95,576.23
1733918400,576.52,589.87,576.52,587.56
1733922000,588.47,601.59,583.2,597.39
1733925600,596.39,603.73,587.1,602.92
1733929200,600.83,615.05,600.83,612.29
